DZ,HB,Easting,Northing,urban,JSA2011,workpop2011
S01000302,Grampian,356828.084,791691.3607,6,5,375
S01000303,Grampian,332474.028,792475.7036,6,8,332
S01000304,Grampian,390686.9374,793330.2734,3,3,647
S01000305,Grampian,391178.275,793437.7863,3,8,659
S01000306,Grampian,376588.6106,793529.6542,5,5,586
S01000307,Grampian,390945.3364,793960.2546,3,5,638
S01000308,Grampian,388515.4483,794221.5355,5,5,653
S01000309,Grampian,348142.0222,794842.4502,6,8,677
S01000310,Grampian,391486.5408,795512.38,3,3,671
S01000311,Grampian,369652.3023,795645.3692,3,5,557
S01000312,Grampian,336728.2291,795666.6018,6,3,363
S01000313,Grampian,370794.257,795886.3936,3,3,362
S01000314,Grampian,391601.0929,795941.3595,3,5,355
S01000315,Grampian,369122.6052,796042.4306,3,0,402
S01000316,Grampian,337113.0672,796052.2325,6,10,378
S01000317,Grampian,370390.2566,796081.0175,3,5,291
S01000318,Grampian,369806.6116,796124.4729,3,0,338
S01000319,Grampian,391819.5797,796157.3381,3,0,456
S01000320,Grampian,391451.4734,796255.8731,3,5,493
S01000321,Grampian,392871.7535,796343.6717,5,5,357
S01000322,Grampian,370595.3542,796390.1004,3,0,632
S01000323,Grampian,370032.805,796466.9826,3,5,547
S01000324,Grampian,391256.5178,796691.0145,3,5,609
S01000325,Grampian,371688.5299,796751.3838,3,5,765
S01000326,Grampian,392183.0181,796794.5891,3,10,465
S01000327,Grampian,391807.5806,796831.777,3,5,566
S01000328,Grampian,392374.4151,797171.6042,3,10,387
S01000329,Grampian,392306.2635,797573.7438,3,8,582
S01000330,Grampian,372872.5564,797934.3469,5,5,762
S01000331,Grampian,352040.6338,798125.1531,6,8,331
S01000332,Grampian,352136.7411,798483.7143,6,3,424
S01000333,Grampian,386291.401,798563.0868,5,5,662
S01000334,Grampian,353504.7593,798647.8005,6,5,498
S01000335,Grampian,378844.5881,798967.4757,5,8,393
S01000336,Grampian,391773.4222,799914.502,5,5,1144
S01000337,Grampian,366849.1274,799938.7532,5,5,454
S01000338,Grampian,359822.3078,800321.9439,6,5,342
S01000339,Grampian,362649.2895,801638.8519,6,3,610
S01000340,Grampian,375828.6039,803001.6462,5,5,621
S01000341,Grampian,344142.2541,804449.4894,6,8,481
S01000342,Grampian,348004.4877,804491.8112,6,8,299
S01000343,Grampian,362155.7491,804574.4734,6,3,402
S01000344,Grampian,356189.1567,804892.5837,6,5,639
S01000345,Grampian,382250.4933,806486.6021,2,5,368
S01000346,Grampian,383231.8602,806618.5538,2,8,401
S01000347,Grampian,378514.6303,806630.796,2,5,988
S01000348,Grampian,382757.9884,806772.9014,2,0,491
S01000349,Grampian,382224.3753,806907.0255,2,3,336
S01000350,Grampian,381436.2703,807008.9958,2,5,687
S01000351,Grampian,382825.1774,807162.4275,2,0,630
S01000352,Grampian,383623.4253,807230.1064,2,5,430
S01000353,Grampian,381849.7619,807244.5852,2,0,446
S01000354,Grampian,381501.3343,807266.4215,2,3,1080
S01000355,Grampian,382351.5078,807415.4178,2,0,410
S01000356,Grampian,367241.5285,807496.1245,5,0,436
S01000357,Grampian,382940.1929,807503.6024,2,5,414
S01000358,Grampian,383396.0841,807610.3113,2,3,645
S01000359,Grampian,382991.4097,808006.7017,2,3,614
S01000360,Grampian,327875.6551,808150.3139,6,5,304
S01000361,Grampian,375770.3767,809603.5115,5,3,399
S01000362,Grampian,381078.4313,811482.1926,5,5,604
S01000363,Grampian,365479.1755,812011.6179,5,3,751
S01000364,Grampian,351874.4343,813149.6747,6,5,611
S01000365,Grampian,382365.331,813520.5527,5,13,1265
S01000366,Grampian,376512.0227,813725.9919,5,10,1122
S01000367,Grampian,379949.2439,813965.612,3,0,542
S01000368,Grampian,358481.2906,815076.2783,6,10,585
S01000369,Grampian,391515.5666,815517.4511,5,3,591
S01000370,Grampian,396062.2361,815635.2222,5,5,893
S01000371,Grampian,355040.9554,815667.7137,6,3,499
S01000372,Grampian,373454.0735,815891.8162,3,5,594
S01000373,Grampian,372902.4748,815899.0583,3,5,402
S01000374,Grampian,358356.1387,816197.6878,6,5,400
S01000375,Grampian,373614.0721,816405.0068,3,8,347
S01000376,Grampian,372886.0905,816567.3906,3,15,488
S01000377,Grampian,372308.2384,816642.8329,5,8,554
S01000378,Grampian,373417.3687,816802.3169,3,3,338
S01000379,Grampian,385930.2042,816841.6224,5,0,448
S01000380,Grampian,395202.5221,816874.0888,5,5,596
S01000381,Grampian,377383.4551,816928.82,3,10,922
S01000382,Grampian,366750.4853,817081.3175,5,0,533
S01000383,Grampian,390132.6954,817174.2687,5,5,764
S01000384,Grampian,344377.1697,817466.2636,6,5,435
S01000385,Grampian,396877.4154,817581.2806,5,5,395
S01000386,Grampian,381735.5858,818912.3632,5,8,700
S01000387,Grampian,385721.2975,819194.8096,5,3,490
S01000388,Grampian,393565.1981,819732.9304,5,3,778
S01000389,Grampian,388558.7966,819838.7723,5,5,556
S01000390,Grampian,377773.05,820009.992,2,10,456
S01000391,Grampian,377854.9735,820525.9391,2,5,368
S01000392,Grampian,389563.1672,820741.1188,5,0,573
S01000393,Grampian,377465.2319,820935.7482,2,3,373
S01000394,Grampian,376889.3797,821003.2283,2,3,400
S01000395,Grampian,362752.6123,821134.1571,5,3,546
S01000396,Grampian,377090.3288,821241.8886,2,13,484
S01000397,Grampian,376600.0404,821501.7404,2,5,517
S01000398,Grampian,376674.0775,821566.3901,5,10,1587
S01000399,Grampian,377624.5307,821638.6069,2,5,373
S01000400,Grampian,377104.2304,821885.3855,2,8,409
S01000401,Grampian,356331.5242,821920.0614,6,5,571
S01000402,Grampian,376029.973,821968.4983,2,3,444
S01000403,Grampian,376524.9587,821971.2668,2,3,416
S01000404,Grampian,376571.2675,822233.3488,2,0,437
S01000405,Grampian,397292.793,822388.8791,5,5,367
S01000406,Grampian,376931.9724,822399.837,2,8,316
S01000407,Grampian,376485.2059,822626.7757,2,5,365
S01000408,Grampian,375977.8203,822697.1132,2,3,451
S01000409,Grampian,376234.4474,822711.3114,2,3,411
S01000410,Grampian,371584.3329,823944.3218,5,3,477
S01000411,Grampian,386866.0177,824090.3735,5,3,401
S01000412,Grampian,391990.8417,824716.5874,5,8,537
S01000413,Grampian,398507.5648,825163.8409,6,10,490
S01000414,Grampian,399922.0949,825736.7845,6,5,442
S01000415,Grampian,363811.4084,826508.1631,5,5,504
S01000416,Grampian,390041.9649,826833.781,5,5,584
S01000417,Grampian,380752.4671,826967.8185,5,5,658
S01000418,Grampian,354924.7396,827075.9899,6,5,456
S01000419,Grampian,382362.4891,827283.1484,5,10,923
S01000420,Grampian,380944.2719,827468.926,5,10,820
S01000421,Grampian,368006.9182,827850.4288,5,5,492
S01000422,Grampian,363058.2588,827877.25,5,5,506
S01000423,Grampian,375712.6971,828730.2053,5,3,668
S01000424,Grampian,390041.7777,829048.5344,5,5,425
S01000425,Grampian,386238.831,829867.3138,5,8,464
S01000426,Grampian,371057.0031,829907.3139,5,0,509
S01000427,Grampian,394712.4412,829933.9768,4,5,461
S01000428,Grampian,395106.0292,829939.2889,4,5,432
S01000429,Grampian,395590.4176,830026.228,4,5,483
S01000430,Grampian,394534.8683,830479.8297,4,0,312
S01000431,Grampian,395462.0555,830486.7409,4,15,335
S01000432,Grampian,396598.8263,830708.026,4,5,496
S01000433,Grampian,395172.1145,830816.9223,4,5,324
S01000434,Grampian,394143.4486,831034.9343,4,5,370
S01000435,Grampian,394628.5024,831176.1458,4,5,298
S01000436,Grampian,394200.4603,831271.8793,4,0,405
S01000437,Grampian,394721.8901,831276.1299,4,8,532
S01000438,Grampian,395572.7602,831281.9323,4,0,480
S01000439,Grampian,397407.2792,831301.6899,6,5,510
S01000440,Grampian,362474.3568,831440.5793,5,8,698
S01000441,Grampian,348088.2965,831712.0677,6,10,512
S01000442,Grampian,388212.8536,832978.9434,5,3,553
S01000443,Grampian,380203.4649,833034.9916,5,0,397
S01000444,Grampian,393720.606,833316.132,6,13,1615
S01000445,Grampian,405569.4359,835388.6365,5,10,708
S01000446,Grampian,401980.8404,835601.9007,5,8,673
